Строка;Было;Стало;Действие;Вердикт сверки;Наименование
702;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Раковина Creavit Next NX242-00CB00E-0000 белая   (Ширина: 500 мм,  Высота: 130 мм, Глубина: 400 мм)
703;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;HB80 Сифон для раковины Haiba хром
704;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;HB66 Донный клапан для раковины Haiba без перелива, хром
705;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;E253701 i.life Писсуар, задняя подводка, с крепежами и фитингами в комплекте. Безободковая чаша без
706;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;R016367 Универсальная рама для монтажа писсуара Ideal Standard PROSYS
707;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Инсталляция для подвесного унитаза Aquatek Standart 37 INS-0000017, кнопка Акватек KDI-0000016 хром, KKI-0000002 Комплек
708;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Установка унитаза пр-во  JIKA BALTIC(в комплекте с бачком, сиденьем, запорной арматурой)
709;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Установка  Умывальника SantiLine SL-2005  в комплекте с сифоном из нержавеющей стали  Viega 100674 Хром
710;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Установка смесителя для раковины  IDEAL STANDARD CERALINE BC193AA однорычажный, хром
711;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Инсталляция для подвесного унитаза Aquatek Standart 37 INS-0000017, кнопка Акватек KDI-0000016 хром
712;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Установка смеситетеля  гигиенического Ideal Standart DB130AA
713;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Установка смесителя для раковины Damixa Jupiter 770230001 с гигиеническим душем, хром
714;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;смеситель Swedbe Europe 6000-220.
715;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Рама для монтажа PROSYS R016367 писсуара с задней подводкой
716;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;LEMARK Смывное устройство для писсуара, сенсорное, встраиваемое
719;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Смеситель GROHE Eurosmart
724;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Установка унитаза Ideal Standard Connect Cube E 8036 01 + Е7970 01 ( с крышкой дюропласт E 7128 01) в комплекте
725;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Установка унитаза Ideal Standard TONIC II (Напольный пристенный унитаз для монтажа с бачком, с сидением и крышкой станда
727;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Монтаж раковины Jacob Delafon Struktura 65x48 см фарфор, цвет белый (в комплекте с крепежом и сифоном хром)
729;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Монтаж смесителя Hansgrohe Focus S 31764 для душа, скрытого монтажа, однозахватного (комплект)
730;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Монтаж гигиенического ручного душа Hansgrohe, шланг 1,6м, настенный держатель ( арт.3212800)
731;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Установка писсуара Jika DOMINO без сенсора с отв.для распылителя 4110.1(в комплекте с  запорной арматурой)
769;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;"твек. 6.7. Кронштейн ""DUETTO"" штырьевой бел. плоский 9х220"
770;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;твек. 6.7.01 Кронштейн  штырьевой бел. плоский 9х260
771;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;твек. 6.8. Кронштейн SIRA RS штырьевой белый плоский 1,8 9х220
772;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;"твек. 7.3. Кронштейн угл. универс. бел. ""ЭЛЕГАНС"" (2,0)"
773;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;"твек. 7.8. Кронштейн усил. угловой универсальный белый ""Элеганс"" 1,7"
774;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;КОМПЛЕКТ МОНТАЖНЫЙ 1/2 универсальный белый без кронштейнов
775;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;КОМПЛЕКТ МОНТАЖНЫЙ 3/4 универсальный белый без кронштейнов
776;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Наценка на радиатор с нп Комплектация для радиатора с НП ( клапан термостатический с комплектующими , монтажный комплект
777;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;"Узел подключения радиатора H-образный Arrowhead Element, прямой, 3/4""- 3/4"" (без ниппелей)"
778;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Трубка РЕХАУ из. нерж. стали для подкл. радиатора, Г-образная 16/250
779;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Резьбозажимное соединение РЕХАУ для металлической трубки G 3/4 -15
815;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Радиатор стальной с нижним подключением Kermi Profil-V, в комплекте с кронштейнами Type11 500x500
816;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Радиатор стальной с нижним подключением Kermi Profil-V, в комплекте с кронштейнами Type11 1000x500
817;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Радиатор стальной с нижним подключением Kermi Profil-V, в комплекте с кронштейнами Type11 1200x500
818;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Радиатор стальной с нижним подключением Kermi Profil-V, в комплекте с кронштейнами Type11 1500x500
819;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Радиатор стальной с нижним подключением Royal Thermo, в комплекте с кронштейнами Ventil COMPACT VC 500x500
820;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Радиатор стальной с нижним подключением Royal Thermo, в комплекте с кронштейнами Ventil COMPACT VC 1000x500
821;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Радиатор стальной с нижним подключением Royal Thermo, в комплекте с кронштейнами Ventil COMPACT VC 1200x500
822;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Радиатор стальной с нижним подключением Royal Thermo, в комплекте с кронштейнами Ventil COMPACT VC 1500x500
932;ККО ?;ККО;снят «?»;OK;Приточно-вытяжная установка Globalvent  iСLIMATE-038+ E (либо аналог в соответствии с ТЗ) включая дополнительный нагрева
933;ККО ?;ККО;снят «?»;OK;Приточно-вытяжная установка Globalvent  iСLIMATE-042 E (либо аналог в соответствии с ТЗ) включая дополнительный нагреват
934;ККО ?;ККО;снят «?»;OK;Приточно-вытяжная установка Globalvent  iСLIMATE-042+ E (либо аналог в соответствии с ТЗ) включая дополнительный нагрева
935;ККО ?;ККО;снят «?»;OK;Приточно-вытяжная установка Globalvent  iСLIMATE-050 E (либо аналог в соответствии с ТЗ) включая дополнительный нагреват
936;ККО ?;ККО;снят «?»;OK;Приточно-вытяжная установка Globalvent  iСLIMATE-050i+ E (либо аналог в соответствии с ТЗ) включая дополнительный нагрев
937;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Компактная воздушно-тепловая завеса КЭВ-3П1154Е с пультом
938;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Компактная воздушно-тепловая завеса КЭВ-6П2212E с пультом
939;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Компактная воздушно-тепловая завеса КЭВ-9П3012E с пультом
940;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Компактная воздушно-тепловая завеса КЭВ-12П3042E с пультом
941;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Приточный очиститель воздуха Тион Бризер 4S Magic
979;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Комплект воздуховодов, диффузоров (металлические), решеток, в системы воздухообмена, тройников, отводов, теплоизоляции, 
1075;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Прокладка 1м.п трассы для системы кондиционирования (фреоно трассы, трубы холодоснабжения,  теплоизоляция, крепежные дет
1079;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;ГРЩ(1)
1080;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;ГРЩ(2)
1081;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;ЩС(1)
1082;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;ЩС(2)
1083;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;ЩСБ
1084;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;ЩИБП
1085;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;ППУ
1086;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;ЩР (НАНО 1-ф)
1087;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;ЩР (НАНО 3-ф)
1102;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Лоток металлический неперфорированный 100х50х3000 0.7мм S3 с углами вертикальными (45-90), горизонтальными, крышками, пе
1103;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Лоток металлический неперфорированный 200х50х3000 0.7мм S3 с углами вертикальными (45-90), горизонтальными, крышками, пе
1113;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Установка розетки двойной Schneider Electric Blanca с заземлением, открытый монтаж, цвет – Алюминий
1128;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Шинопровод 3м (черный) (белый)
1129;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Шинопровод 3м (черный) (белый)
1130;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Шинопровод 3м (черный) (белый)
1131;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Шинопровод 1м (черный) (белый)
1132;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Шинопровод 3м (черный) (белый)
1133;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Шинопровод 1м (черный) (белый)
1134;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Шинопровод 3м (черный) (белый)
1135;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Шинопровод 2м (белый)
1136;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Шинопровод 3м (черный) (белый)
1191;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Выключатель нагрузки OT40E3, 40А, ABB
1192;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Выключатель нагрузки OT45E3, 45А, ABB
1193;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Выключатель нагрузки OT63E3, 63А, ABB
1194;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Выключатель нагрузки OT80F3, 80А, ABB
1198;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Устройство защитного отключения 2пол. тип A 16A 10mA F202 A-16/0,01 ABB
1201;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Устройство защитного отключения 2пол. тип AC 16A 10mA F202 AC-16/0,01 ABB
1202;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Устройство защитного отключения 2пол. тип AC 25A 300mA F202 AC-25/0,3 ABB
